order,SpecimenID,Site,X,Y,Spit,Raw.material,Key
751,19375,BCJ area F7,20.9,28.35,4,silcrete,Flake local F26
759,19383,BCJ area F7,20.6,28.35,6,silcrete,Flake local F26
801,19424,BCJ area F7,15.6,28.35,4,quartz,Flake local quartz
808,19416,BCJ area F7,15.9,28.35,4,chert,Flake local F28
1017,19642,BCJ area F7,14.6,28.35,6,chert,Flake local F28
1565,20190,BCJ area F7,13.9,28.35,6,quartz,Flake local quartz
3732,22318,BCJ area F7,12.9,28.35,6,quartz,Backed artefact local quartz
3740,22326,BCJ area F7,12.6,28.35,4,quartz,NA
318,18943,BCJ area F7,18.05,28.4,4,silcrete,Flake local F26
450,19075,BCJ area F7,19.05,28.4,6,silcrete,Flake local F26
475,19100,BCJ area F7,17.05,28.4,6,chert,Flake local F28
756,19380,BCJ area F7,20.05,28.4,4,silcrete,Flake local F26
1014,19639,BCJ area F7,14.05,28.4,6,chert,NA
3737,22323,BCJ area F7,12.05,28.4,4,quartz,NA
5167,NA,NA,21,28.4,NA,NA,Excavation boundary
5409,NA,NA,12,28.4,NA,NA,Excavation boundary
655,19265,BCJ area F7,16.88,28.42,4,chert,Flake local F28
326,18951,BCJ area F7,18.6,28.45,4,chert,Flake local F24
339,18964,BCJ area F7,18.8,28.45,6,silcrete,NA
344,18969,BCJ area F7,18.8,28.45,6,silcrete,Flake local F26
352,18977,BCJ area F7,18.7,28.45,8,silcrete,Flake local F26
458,19083,BCJ area F7,20,28.45,6,silcrete,Flake local F26
653,19278,BCJ area F7,16.52,28.45,4,silcrete,Flake local F26
654,19296,BCJ area F7,16.96,28.45,6,chert,NA
811,19429,BCJ area F7,16,28.45,6,chert,Flake local F28
1022,19647,BCJ area F7,14.2,28.45,8,silcrete,NA
1040,19665,BCJ area F7,14.4,28.45,6,quartz,NA
1048,19673,BCJ area F7,14.7,28.45,6,quartz,NA
1035,19660,BCJ area F7,14.8,28.45,4,quartz,NA
1578,20203,BCJ area F7,13.91,28.45,4,quartz,NA
3745,22331,BCJ area F7,12.8,28.45,6,quartz,NA
39,18974,BCJ area F7,18.25,28.5,6,chert,Flake local F28
310,18935,BCJ area F7,18.5,28.5,4,chert,NA
442,19067,BCJ area F7,19.5,28.5,4,silcrete,Backed artefact local F26
467,19092,BCJ area F7,17.5,28.5,4,silcrete,NA
748,19372,BCJ area F7,20.5,28.5,4,silcrete,Flake local F26
797,19413,BCJ area F7,15.5,28.5,4,silcrete,Flake local F26
1021,19646,BCJ area F7,14.378,28.5,6,quartz,Flake local quartz
1019,19644,BCJ area F7,14.945,28.5,6,quartz,Flake local quartz
1045,19670,BCJ area F7,14.15,28.5,6,quartz,NA
1006,19631,BCJ area F7,14.5,28.5,4,chert,Flake local F28
3729,22315,BCJ area F7,12.5,28.5,6,silcrete,NA
5168,NA,NA,21,28.5,NA,NA,Excavation boundary
5408,NA,NA,12,28.5,NA,NA,Excavation boundary
657,19275,BCJ area F7,16.05,28.53,4,chert,Flake local F28
656,19301,BCJ area F7,16.67,28.545,6,quartz,NA
324,18949,BCJ area F7,18.85,28.55,4,silcrete,Flake local F26
456,19081,BCJ area F7,19.85,28.55,6,silcrete,Flake local F26
481,19106,BCJ area F7,17.85,28.55,6,quartz,NA
658,19299,BCJ area F7,16.71,28.55,6,quartz,NA
806,19427,BCJ area F7,15.85,28.55,4,quartz,Flake local quartz
1053,19678,BCJ area F7,14.1,28.55,6,quartz,NA
3743,22329,BCJ area F7,12.85,28.55,6,quartz,NA
659,19266,BCJ area F7,16.79,28.56,4,chert,Flake local F28
329,18954,BCJ area F7,18.5,28.6,6,silcrete,Flake local F26
333,18958,BCJ area F7,18.65,28.6,6,silcrete,NA
341,18966,BCJ area F7,18.6,28.6,6,silcrete,Flake local F26
461,19086,BCJ area F7,19.5,28.6,6,chert,Flake local F24
465,19090,BCJ area F7,19.65,28.6,6,silcrete,Flake local F26
798,19432,BCJ area F7,15.5,28.6,6,quartz,Flake local quartz
802,19436,BCJ area F7,15.65,28.6,6,quartz,Flake local quartz
1025,19650,BCJ area F7,14.5,28.6,4,quartz,NA
1037,19662,BCJ area F7,14.6,28.6,4,quartz,NA
1029,19654,BCJ area F7,14.65,28.6,4,quartz,NA
1581,20206,BCJ area F7,13.5,28.6,4,quartz,NA
