order,SpecimenID,Image.J.ID,Site,Pit,X,Y,Spit,TP.spit,Category,Raw.material,artefact,Key,activity_area,Nodule,Retouch,Use wear,CONJOIN SET,Breakage
1,321,,BCJ area G,G9A,17.29,18.87,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,3
1,322,,BCJ area G,G9A,17.4,18.5,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AF,1
1,333,,BCJ area G,G9A,17.04,18.44,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4E,1
1,334,,BCJ area G,G9A,17.07,18.17,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,335,,BCJ area G,G9A,17.05,18.54,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,1
1,336,,BCJ area G,G9A,17.45,18.17,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,337,,BCJ area G,G9A,17.7,18.42,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,338,,BCJ area G,G9A,17.88,18.68,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,3
1,340,,BCJ area G,G9A,17.46,18.68,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,353,,BCJ area G,G9A,17.29,18.27,14,7 (60-70cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,354,,BCJ area G,G9A,17.54,18.52,14,7 (60-70cm),Flake,silcrete,,Flake local G4,Area 1,G4mis,no,No,NA,1
1,356,,BCJ area G,G9B,17.64,17.21,4,2 (10-20cm),"Angular shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,G4F,
1,357,,BCJ area G,G9B,17.42,17.07,4,2 (10-20cm),Core,silcrete,,Core local G4,Area 1,G4,,,G4E,
1,358,,BCJ area G,G9B,17.67,17.22,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,370,,BCJ area G,G9B,17.16,17.05,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,371,,BCJ area G,G9B,17.34,17.16,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,373,,BCJ area G,G9B,17.76,17.31,6,3 (20-30cm),Flake,silcrete,Backed artefact,Backed artefact local G4,Area 1,G4,backed,No,G4B,3
1,374,,BCJ area G,G9B,17.64,17.47,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,375,,BCJ area G,G9B,17.89,17.12,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,376,,BCJ area G,G9B,17.83,17.47,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4D,3
1,377,,BCJ area G,G9B,17.96,17.2,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,378,,BCJ area G,G9B,17.36,17.57,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,379,,BCJ area G,G9B,17.16,17.2,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4D,3
1,380,,BCJ area G,G9B,17.51,17.45,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,381,,BCJ area G,G9B,17.4,17.5,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,395,,BCJ area G,G9B,17.02,17.81,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,396,,BCJ area G,G9B,17.81,17.5,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
1,397,,BCJ area G,G9B,17.91,17.91,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,398,,BCJ area G,G9B,17.46,17.96,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,399,,BCJ area G,G9B,17.92,17.15,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,400,,BCJ area G,G9B,17.66,17.36,8,4 (30-40cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,no,No,NA,
1,401,,BCJ area G,G9B,17.28,17.2,8,4 (30-40cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,no,No,NA,
1,402,,BCJ area G,G9B,17.52,17.41,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4J,3
1,403,,BCJ area G,G9B,17.7,17.57,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,404,,BCJ area G,G9B,17.45,17.82,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,405,,BCJ area G,G9B,17.79,17.17,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,406,,BCJ area G,G9B,17.34,17.3,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,407,,BCJ area G,G9B,17.04,17.67,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,408,,BCJ area G,G9B,17.04,17.3,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,409,,BCJ area G,G9B,17.79,17.05,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,410,,BCJ area G,G9B,17.57,17.71,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,411,,BCJ area G,G9B,17.82,17.46,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,412,,BCJ area G,G9B,17.05,17.71,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,413,,BCJ area G,G9B,17.04,17.04,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,426,,BCJ area G,G9B,17.19,17.65,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,427,,BCJ area G,G9B,17.44,17.9,10,5 (40-50cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,NA,
1,428,,BCJ area G,G9B,17.92,17.09,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AU,3
1,429,,BCJ area G,G9B,17.44,17.3,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,430,,BCJ area G,G9B,17.16,17.14,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
