ID_loukas,105_LG_Bas_clean.tps,105_LG_Bas_ID_added.tps,ID,Amy's ID number,Length,Max Width,LMW_matlab,BASI_matlab,AW,Age,spit,nodule_X,nodule_two_or_more,nodule_Area,raw_material,DISCARD,SITE,SITE_detail,SITE_GROUPED,AMY NOTES,Pit,TP,Spit,Plotted,Image J ID,SpecimenID,Notes,TP spit,Lustre,Weight,Category,Breakage,LONG/TRAN Breakage type,Retouch,Flake category,Cortex,Event size,Core,bipolar,import_2,import,Use_wear,CONJOIN SET,Perc. length,BASI,CON NO PIECES,CON WITH,CON TYPE,Complete refit,Platform,O'hang rem.,Plat crushing,Ext. Plat. Angle,Termination,BF FORM,Dorsal scars,Arris,Platform width,Max P width,Termination width,Plat thick,Max_thick,BA max back thick,BA FORM,BA backed edge no,BA cut edge,BA max width,LMW,BA backed edge 1,BA backed edge 2,BA backed edge 3,Heat Damage/surface pitting,Potlid,Area,Max_Length,Max_Width,elongation,FeretX,FeretY,Feret angle,Perimeter,Round
1225,ID=1225,ID=1225CHPROBCF,1225,AW19043,13.497,5.351,2.004,0.296954879,19043,1200-1500,4,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F28,,4,No,1,19043,,2 (10-20cm),,0.19,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,14.87,0,,,,y,complex - mulitple,No,No,-6190,feather,,4 or more,1,5.61,5.61,0.4,2.21,3.04,4.28,9,2,13.82,,,13.56,5.6,,,,50.9,14.6,5.8,2.517241379,13,113.75,84.094,35.763,0.339
1226,ID=1226,ID=1226CHPROBCF,1226,AW19410,13.861,6.043,4.602,0.664021355,19410,1200-1500,6,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F45,,6,No,26,19410,,3 (20-30cm),,0.15,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,CR - BA,No,,14.66,0,,,,y,removed,,,,removed,,,,,6.41,,,1.75,1.82,6,2,14.27,,,11.6,8.16,,,,53.8,14.1,6.7,2.104477612,70.25,25,82.875,36.531,0.433
1227,ID=1227,ID=1227CHPROBCF,1227,AW19318,10.562,7.284,2.051,0.388373414,19318,1200-1500,4,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F40,,4,No,17,19318,,2 (10-20cm),,0.28,Flake,3,7,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,11.9,,,,,,flat - single,Yes,No,-6190,,,,,6.38,8.3,,1.68,NA,2.69,,,,,,,,,,,70.8,11.9,8.3,1.43373494,9.25,83.25,65.056,34.542,0.748
1282,ID=1282,ID=1282CHPROBCF,1282,AW19005,6.358,5.15,2.092,0.658068575,19005,1200-1500,4,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F26,,4,No,5,19005,MICROLITH,2 (10-20cm),,0.08,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,7.67,0,,,,y,removed,,,,removed,,,,,5.58,,,2.43,2.23,6,2,6.73,,,7.34,5.82,,,,29.8,7.9,5.7,1.385964912,15,77.75,99.162,22.374,0.697
1283,ID=1283,ID=1283CHPROBCF,1283,AW19128,11.479,5.806,0,0,19128,1200-1500,4,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F31,,4,No,22,19128,,2 (10-20cm),,0.24,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,11.55,0,,,,y,removed,,,,removed,,4 or more,2,6.14,6.14,0.66,1.7,3,3.3,6,2,11.97,,,11.17,5.58,,,,50.9,11.9,6.5,1.830769231,27.75,64.75,67.751,32.117,0.553
1210,ID=1210,ID=1210CHPROBCF,1210,AW18870,10.988,6.858,3.176,0.578085184,18870,1200-1500,4,F2-F30 CHERT,F30 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F18N,,4,No,1,18870,,2 (10-20cm),yes both sides,0.22,Flake,1,,backed,Backed artefact,Tertiary (none),Medium (10-25),,,CR - BA,CR - BA,No,,10.18,0,,,,y,removed,,,,removed,,2,1,,6.89,,,2.34,2.74,9,2,11.43,,,7.17,7.21,,,,57.6,11.6,7.2,1.611111111,12.75,39,82.569,32.117,0.63
1284,ID=1284,ID=1284CHPROBCF,1284,AW18918,13.517,8.265,5.156,0.762891174,18918,1200-1500,6,F2-F30 CHERT,F30 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F20,,6,No,6,18918,,3 (20-30cm),,0.43,Flake,1,,backed,Backed artefact,Tertiary (none),Medium (10-25),,,CR - BA,CR - BA,No,,13.67,0,,,,y,facetted,No,No,-6190,removed,,,,2.68,8.47,0.9,2.37,3.99,3.78,6,2,13.19,,,12.06,9.87,,,,83.2,14.9,8.9,1.674157303,37.5,22.5,81.327,40.481,0.596
1214,ID=1214,ID=1214SIISOBCF,1214,AW19007,15.405,6.233,3.184,0.413372282,19007,,6,F2 ISOSILC,NA,F2,SILCRETE,IMPORTED,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F26,,6,No,7,19007,,3 (20-30cm),yes both sides,0.26,Flake,1,,backed,Backed artefact,Tertiary (none),Isolated,,,Imported BA,Imported BA,No,,15.4,0,,,,y,removed,,,,removed,,3,1,,6.5,,,2.52,3.23,9,2,15.61,,,9.54,7.03,,,,66.6,15.4,6.5,2.369230769,9.25,64.75,73.926,38.556,0.422
1281,ID=1281,ID=1281SIISOBCF,1281,AW19381,19.585,5.652,10.301,1.051927496,19381,,4,F2 ISOSILC,NA,F2,SILCRETE,IMPORTED,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F43,,4,No,19,19381,,2 (10-20cm),yes both sides,0.31,Flake,1,,backed,Backed artefact,Tertiary (none),Isolated,,,Imported BA,Imported BA,Yes,,19.6,0,,,,y,removed,,,,feather,,3,1,,5.8,,,2.81,3.12,1,1,19.6,,,19.51,,,,,70.4,19.6,5.8,3.379310345,50.25,51,58.536,44.82,0.245
1211,ID=1211,ID=1211SISETBCF,1211,AW18614,20.639,14.479,6.757,0.654779786,18614,1200-1500,8,F3-F12 SIL,F12 SIL,F3,SILCRETE,IMPORTED,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F7Z,,8,No,20,18614,TRIANGULAR MICROLITH,4 (30-40cm),yes both sides,0.76,Flake,1,,backed,Backed artefact,Tertiary (none),Small (1-9),,,Imported BA,Imported BA,Possible,,19.98,0,,,,y,removed,,,,removed,,2,1,,14.41,,,3.41,,6,2,21.04,,,17.77,14.7,,,,186.8,21.3,15,1.42,34.5,40.25,60.422,61.784,0.695
