order,Image.J.ID,SpecimenID,Site,notX,notY,X,Y,Spit,Raw.material,Key
4063,15,17886,BCJ area F7,NA,NA,15.25,16,8,quartz,NA
4064,16,17887,BCJ area F7,NA,NA,15.85,15.55,10,quartz,NA
4065,17,17888,BCJ area F7,NA,NA,15.7,15.2,10,quartz,NA
4066,18,17889,BCJ area F7,NA,NA,16,15.45,10,quartz,NA
4067,1,17890,BCJ area F7,13,13,13,13,2,quartz,NA
4068,2,17891,BCJ area F7,NA,NA,13.5,13.5,2,quartz,NA
4069,3,17892,BCJ area F7,NA,NA,13.8,13.7,2,quartz,NA
4070,4,17893,BCJ area F7,NA,NA,13.3,13.65,2,quartz,NA
4071,5,17894,BCJ area F7,NA,NA,13.9,13.35,2,quartz,NA
4072,6,17895,BCJ area F7,NA,NA,13.35,13.2,2,quartz,NA
4073,7,17896,BCJ area F7,NA,NA,13.95,13.095,2,quartz,NA
4074,8,17897,BCJ area F7,NA,NA,13.1,13.85,2,quartz,NA
4075,9,17898,BCJ area F7,NA,NA,13.7,13.05,4,quartz,NA
4076,10,17899,BCJ area F7,NA,NA,13.05,13.4,4,quartz,NA
4077,11,17900,BCJ area F7,NA,NA,13.6,13.8,4,quartz,NA
4078,12,17901,BCJ area F7,NA,NA,13.95,13.15,4,silcrete,NA
4079,13,17902,BCJ area F7,NA,NA,13.6,13.35,4,silcrete,NA
4080,14,17903,BCJ area F7,NA,NA,13.25,13.05,4,silcrete,NA
4081,15,17904,BCJ area F7,NA,NA,13.25,14,6,quartz,NA
4082,16,17905,BCJ area F7,NA,NA,13.85,13.55,8,silcrete,NA
4083,17,17906,BCJ area F7,NA,NA,13.7,13.2,8,silcrete,NA
4084,18,17907,BCJ area F7,NA,NA,13.95,13.45,8,quartz,NA
4085,19,17908,BCJ area F7,NA,NA,13.45,13.95,8,quartz,NA
4086,20,17909,BCJ area F7,NA,NA,13.25,13.8,8,quartz,NA
4087,21,17910,BCJ area F7,NA,NA,13.5,13.6,10,quartz,NA
4088,1,17911,BCJ area F7,15,10,15,10,2,quartz,NA
4089,2,17912,BCJ area F7,NA,NA,15.5,10.5,2,quartz,NA
4090,3,17913,BCJ area F7,NA,NA,15.8,10.7,2,quartz,NA
4091,4,17914,BCJ area F7,NA,NA,15.3,10.65,4,quartz,NA
4092,5,17915,BCJ area F7,NA,NA,15.9,10.35,4,quartz,NA
4093,6,17916,BCJ area F7,NA,NA,15.35,10.2,4,quartz,NA
4094,7,17917,BCJ area F7,NA,NA,15.95,10.095,4,silcrete,NA
4095,8,17918,BCJ area F7,NA,NA,15.1,10.85,4,silcrete,NA
4096,9,17919,BCJ area F7,NA,NA,15.7,10.05,4,silcrete,NA
4097,10,17920,BCJ area F7,NA,NA,15.05,10.4,6,quartz,NA
4098,11,17921,BCJ area F7,NA,NA,15.6,10.8,6,quartz,NA
4099,12,17922,BCJ area F7,NA,NA,16,10.15,8,quartz,NA
4100,13,17923,BCJ area F7,NA,NA,15.6,10.35,8,quartz,NA
4101,14,17924,BCJ area F7,NA,NA,15.25,10.05,8,quartz,NA
4102,15,17925,BCJ area F7,NA,NA,15.25,11,8,quartz,NA
4103,16,17926,BCJ area F7,NA,NA,15.85,10.55,8,quartz,NA
4104,17,17927,BCJ area F7,NA,NA,15.7,10.2,8,quartz,NA
4105,18,17928,BCJ area F7,NA,NA,16,10.45,10,quartz,NA
4106,19,17929,BCJ area F7,NA,NA,15.45,10.95,11,quartz,NA
4107,1,17930,BCJ area F7,18,13,18,13,2,silcrete,NA
4108,2,17931,BCJ area F7,NA,NA,18.5,13.5,2,quartz,NA
4109,3,17932,BCJ area F7,NA,NA,18.8,13.7,4,silcrete,NA
4110,4,17933,BCJ area F7,NA,NA,18.3,13.65,4,silcrete,NA
4111,5,17934,BCJ area F7,NA,NA,18.9,13.35,4,silcrete,NA
4112,6,17935,BCJ area F7,NA,NA,18.35,13.2,4,silcrete,NA
4113,7,17936,BCJ area F7,NA,NA,18.95,13.095,4,silcrete,NA
4114,8,17937,BCJ area F7,NA,NA,18.1,13.85,4,silcrete,NA
4115,9,17938,BCJ area F7,NA,NA,18.7,13.05,4,silcrete,NA
4116,10,17939,BCJ area F7,NA,NA,18.05,13.4,4,silcrete,NA
4117,11,17940,BCJ area F7,NA,NA,18.6,13.8,4,silcrete,NA
4118,12,17941,BCJ area F7,NA,NA,18.6,13.15,4,silcrete,NA
4119,13,17942,BCJ area F7,NA,NA,18.6,13.35,4,silcrete,NA
4120,14,17943,BCJ area F7,NA,NA,18.25,13.05,4,silcrete,NA
4121,15,17944,BCJ area F7,NA,NA,18.125,14,4,silcrete,Backed artefact imported
4122,16,17945,BCJ area F7,NA,NA,18.85,13.55,4,silcrete,NA
4123,17,17946,BCJ area F7,NA,NA,18.7,13.2,4,silcrete,NA
4124,18,17947,BCJ area F7,NA,NA,18.7,13.45,4,quartz,NA
4125,19,17948,BCJ area F7,NA,NA,18.45,13.95,4,quartz,NA
4126,20,17949,BCJ area F7,NA,NA,18.25,13.8,4,quartz,Flake local quartz
4127,21,17950,BCJ area F7,NA,NA,18.5,13.6,4,quartz,NA
4128,22,17951,BCJ area F7,NA,NA,18.85,13.95,4,quartz,NA
4129,23,17952,BCJ area F7,NA,NA,18.8,13.8,4,quartz,NA
4130,24,17953,BCJ area F7,NA,NA,18,13.75,4,quartz,Flake local quartz
4131,25,17954,BCJ area F7,NA,NA,18.65,13.6,4,quartz,Flake local quartz
